URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=46372;2012;11-134;http://www.opengis.net/doc/ER/ows8-tracking-vmti;OGC Web Services, Phase 8 (OWS-8);OWS-8 Tracking: Moving Target Indicator Process, Workflows and Implementation Results ER;video, SOS, WPS, WFS, workflow, messaging;Domains.MovingTargets
https://portal.opengeospatial.org/files/?artifact_id=46342;2011;11-063r6;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Cross Community Interoperability (CCI) Semantic Mediation Engineering Report;SPARQL;Semantic.Mappings
https://portal.opengeospatial.org/files/?artifact_id=46548;2011;11-062r2;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 CCI Portrayal Registries Engineering Report;registry, KML;Clients.Portrayal, Semantic.Registries
https://portal.opengeospatial.org/files/?artifact_id=46324;2011;11-064r3;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 CCI Schema Automation Engineering Report;KML;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=46679;2011;11-085r1;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Bulk Geodata Transfer Using GML Engineering Report;;Architecture.BigData
https://portal.opengeospatial.org/files/?artifact_id=45754;2011;11-114;na;OGC Web Services, Phase 8 (OWS-8);OWS 8 Bulk Geodata Transfer with File Geodatabase;;Architecture.BigData
https://portal.opengeospatial.org/files/?artifact_id=46037;2011;11-125;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 - GeoSynchronization Best Practices;WFS;Architecture.Synchronization
https://portal.opengeospatial.org/files/?artifact_id=46038;2011;11-087;na;OGC Web Services, Phase 8 (OWS-8);WFS 2.0 Change Proposal from OWS-8 - Add CreateSchema and DropFeatureType operations;;Services.WFS
https://portal.opengeospatial.org/files/?artifact_id=47018;2011;11-139r2;http://www.opengis.net/doc/ows8-summary-report;OGC Web Services, Phase 9 (OWS-9);Summary of the OGC Web Services, Phase 8 (OWS-8) Interoperability Testbed;;IP
https://portal.opengeospatial.org/files/?artifact_id=53036;2013;13-011;http://www.opengis.net/def/doc-type/per/ows-9-summary;OGC Web Services, Phase 9 (OWS-9);Summary of the OGC Web Services, Phase 9 (OWS-9) Interoperability Testbed;;IP
https://portal.opengeospatial.org/files/?artifact_id=51823&version=1;2013;12-147;htp://www.opengeospatial.net/doc/OWS-9AviationArchitectureEngineeringReport;OGC Web Services, Phase 9 (OWS-9);OWS-9 Aviation Architecture Engineering Report;;Domains.Aviation
https://portal.opengeospatial.org/files/?artifact_id=51898&version=1;2012;12-151;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Aviation Portrayal Engineering Report;;Domains.Aviation, Clients.Portrayal
https://portal.opengeospatial.org/files/?artifact_id=51817&version=1;2012;12-158;na;OGC Web Services, Phase 9 (OWS-9);OWS-9 Report on Aviation Performance Study;;Domains.Aviation
